    current date,current time,ETA,port of arrival02-06-2021,19:29:19.466708,"ETA: Jun 6, 10:00","Fujairah, United Arab Emirates (UAE)"current date,current time,ETA,port of arrival02-06-2021,19:29:33.703049,"ETA: Jun 6, 10:00","Fujairah, United Arab Emirates (UAE)"current date,current time,ETA,port of arrival04-06-2021,13:39:55.304492,"ETA: Jun 6, 10:00","Fujairah, United Arab Emirates (UAE)"current date,current time,ETA,port of arrival16-06-2021,10:49:23.307989,"ETA: Jul 9, 11:00","Al Fujayrah Anch., United Arab Emirates (UAE)"current date,current time,ETA,port of arrival16-06-2021,11:56:06.531671,"ETA: Jul 9, 11:00","Al Fujayrah Anch., United Arab Emirates (UAE)"current date,current time,ETA,port of arrival
20-07-2021,18:38:40.674220,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
20-07-2021,18:39:42.523684,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
20-07-2021,18:41:57.098715,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
20-07-2021,18:42:54.258235,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
20-07-2021,19:24:42.905058,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
20-07-2021,19:52:55.909705,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
current date,current time,ETA,port of arrival
21-07-2021,14:59:20.831789,"<span class=""_mcol12"">ETA: Aug 2, 02:00</span>","<div class=""vi__r1 vi__sbt"">
<div class=""_3-Yih"">LAS PALMAS SPN</div>
<div class=""_value"">
<span class=""_mcol12"">ETA: Aug 2, 02:00</span><span class=""_arrLb""></span>
</div>
</div>"
